Epochs,loss,val_loss
54.0,11843.534238190108,1653.2354224420362
55.0,170058.31894547876,1050.7401004914313
56.0,99599.9454241476,925.8645964591734
57.0,86906.05620804439,1346.898405997984
58.0,80340.28329130998,1015.7904938728578
59.0,205227.84823807384,1423.7154462260585
60.0,38907.107301082506,1661.9578542401714
61.0,16344.767588840215,1373.3807648689517
62.0,130011.55696531448,1215.1119857295866
63.0,38201.41628486016,2625.3211945564517
64.0,89450.19508672612,1913.2659833354335
65.0,136771.09404456062,1743.250472530242
66.0,52789.11915326464,1773.3481996597782
67.0,84096.40068427731,1468.9776414440523
68.0,98807.73334698599,1979.6096585181451
69.0,32890.71298736984,1327.3071092174898
70.0,5328.720229315448,3052.6225664692543
71.0,145557.2852558276,1421.8150260679183
72.0,38558.023640596424,1088.8605445123487
73.0,59321.88318981104,2880.1263703377017
74.0,44830.64596080744,506.9911351357737
75.0,38937.04806406553,946.255603421119
76.0,41822.109378910434,645.3479358303931
77.0,5387.477282297627,1322.9247377457157
78.0,37046.39813362513,1715.3360536636844
79.0,216747.95856916043,1179.5077573714718
80.0,68110.2882272367,1324.4615636025705
81.0,10205.705358968315,1162.973908455141
82.0,88838.92598594756,1540.2695115612398
83.0,87952.61363634544,940.0750948998236
84.0,50098.7444511199,789.1425564673639
85.0,14166.657062108587,1499.5240360383063
86.0,22515.199521824306,1491.5030163180443
87.0,66618.88244270193,1569.6187980405746
88.0,44960.92582823683,1224.4113218245968
89.0,68118.17301992685,1533.1057325793852
90.0,16425.714038569353,2094.1039310578376
91.0,48481.508453226736,2383.7283581149195
92.0,69040.91312693551,2037.5299190398187
93.0,42632.71637430142,1390.2718092395414
94.0,23636.347104847515,2093.3090072139616
95.0,209625.1335522963,1006.5075368573589
96.0,20100.954618633194,1421.7208960748487
97.0,136634.43454794295,1123.0930569556451
98.0,36118.94578403103,1524.6136868384576
99.0,148912.64329435088,1207.0969671433973
100.0,25106.831301337577,1208.8562602381553
101.0,16230.0028489539,1663.0361367502521
102.0,46927.76602424952,790.17529789094
103.0,53778.1181196621,1030.7860658707157
104.0,5746.052872779856,1638.0787786668348
105.0,39754.837352477974,1184.2805904265374
106.0,40347.21213780419,879.7255367155998
107.0,101086.81844595887,1173.576390420237
108.0,84641.50525973865,909.5004685924899
109.0,29263.302504659885,1070.0609623078376
110.0,21610.622391784338,754.2747310515373
111.0,18347.71195358255,802.7585823305192
112.0,69370.38101650069,621.3570103799143
