Epochs,loss,val_loss
116.0,724.8573529386465,248.06402217258662
117.0,836.81246786796,228.64755976618113
118.0,729.647181355969,117.71570176299588
119.0,795.8439572323259,183.57392443150914
120.0,735.9652429219333,128.0088276371249
121.0,815.8814224953733,139.3325904043611
122.0,733.1541116822522,133.75407717226105
123.0,757.2612959276883,237.96164398154303
124.0,828.0470503176548,134.75186404835273
125.0,656.5318119972799,118.22897696220451
126.0,870.2811380273976,129.20007531796082
127.0,678.6761038646066,145.25661868819626
128.0,872.063043824697,182.39633909039463
129.0,691.4095418449517,109.01319888768856
130.0,641.7240857222898,205.70005305465725
131.0,780.3958828185205,277.6363174754822
132.0,758.6982436818658,195.18667887250024
133.0,900.4568953757205,160.27570455300707
134.0,863.2471959888672,202.54648337206757
135.0,760.1371573891081,117.19201365681539
136.0,806.5652814187955,185.9399495257848
137.0,747.6396256929679,283.9006372573341
138.0,774.7265688037002,106.32852557348052
139.0,676.8928449358294,139.85763708367995
140.0,734.4339189715696,240.5800260451556
141.0,802.066085094121,133.037095943985
142.0,576.2505589741303,130.08095675903664
143.0,658.6894430444988,186.8568090864054
144.0,729.2239208987597,326.43323187416763
145.0,836.3374794600603,217.37710932938376
146.0,746.9535459273816,162.86495848656432
147.0,724.4071128658358,101.78374330058317
148.0,763.3163744975318,257.69200157710344
149.0,1052.9338945775476,149.59110754055533
150.0,1110.1322282361311,160.06259891460215
151.0,647.0572767629177,129.2355264097887
152.0,649.8568452257579,108.08920259771061
153.0,701.9798026067432,213.3971108797111
154.0,782.4019600649651,131.98149422303106
155.0,810.4422248290746,97.01749056173402
156.0,647.404505122406,110.03833836754906
157.0,619.6325510899535,275.98433007112635
158.0,872.8791995990053,170.53219588089087
159.0,691.87591775742,176.82373992006035
160.0,693.3502327691889,145.18495461371415
161.0,802.4390532171124,169.6239367705463
162.0,847.0923878093256,139.41590016669923
163.0,675.1262238561345,186.3419706853784
164.0,869.1139598695767,184.26010524338702
165.0,806.4025374826267,124.56911378093531
166.0,812.7231577300989,138.24848696823648
167.0,700.2323233569388,248.67583318143542
168.0,686.0437304152633,275.5575755158135
169.0,792.538369892773,98.21766075991535
170.0,857.9671172771053,232.0275364669046
171.0,842.1946401980371,95.70961370924594
172.0,772.1659725278488,234.51667108821357
173.0,814.0696434287917,105.3026324004385
174.0,766.3519396201503,161.46807269254302
175.0,674.7763703671162,157.1008551123809
176.0,667.8187079923542,196.42756514186777
177.0,675.4369379741607,97.90847197962991
178.0,609.9584002038883,124.95503395379338
179.0,631.0396852179163,108.73138334002371
180.0,600.1568749309057,172.46420581388998
181.0,791.7943594040486,111.44718384968523
182.0,620.7150642068051,357.1331357426249
183.0,907.7215559368192,178.0784608612959
184.0,629.2718113591989,195.6552548512248
185.0,798.6105627567752,186.08972811985723
186.0,718.5277115326824,160.89546316872784
187.0,559.2802874958168,157.32198964673782
188.0,694.8976631218862,261.62476273305526
189.0,729.4959600674734,230.66308116107334
190.0,748.7156678400676,242.22515645746017
